@RELATION 6000 
  
@ATTRIBUTE appCatergry  {social_contact,navigation,message,game}  
@ATTRIBUTE time   numeric  
@ATTRIBUTE latitude  numeric  
@ATTRIBUTE longitude   numeric 
@ATTRIBUTE permission   {location,contact,phone,microphone} 
@ATTRIBUTE class {true,false}  

@DATA
message,12,39.62,108.21,phone,false
navigation,22,38.26,105.65,location,true
navigation,18,37.08,106.5,microphone,true
navigation,18,38.06,106.78,microphone,true
navigation,17,37.63,107.24,location,true
game,22,38.87,107.06,contact,true
game,15,37.14,105.69,location,true
navigation,16,38.71,106.86,phone,true
game,13,36.14,109.07,contact,true
navigation,18,39.41,109.03,phone,true
message,13,38.76,108.1,microphone,false
navigation,12,37.43,108.88,contact,true
social_contact,23,39.2,109.74,location,false
navigation,15,39.08,106.24,microphone,true
game,12,38.75,107.75,microphone,true
message,20,36.5,106.69,phone,false
message,18,38.03,108.79,microphone,false
navigation,19,38.35,108.96,contact,true
message,18,39.92,109.04,phone,false
social_contact,15,39.5,106.48,contact,false
social_contact,17,36.78,106.6,microphone,false
navigation,14,39.08,105.54,contact,true
social_contact,13,39.23,107.29,microphone,false
social_contact,21,39.42,106.33,phone,false
game,12,37.85,105.78,location,true
game,17,38.97,109.88,location,true
game,21,39.82,106.72,phone,true
game,23,36.6,105.72,microphone,true
navigation,13,39.76,107.2,location,true
game,12,39.39,109.66,location,true
message,16,37.36,109.0,phone,false
navigation,22,36.51,108.48,phone,true
social_contact,19,37.55,108.49,microphone,false
social_contact,18,39.94,108.32,contact,false
message,21,39.4,109.41,contact,false
game,19,36.07,108.92,location,true
game,17,39.39,108.81,contact,true
navigation,14,37.92,109.35,phone,true
social_contact,14,36.93,108.88,location,false
navigation,20,39.31,106.41,contact,true
social_contact,22,38.4,108.05,location,false
game,20,37.12,105.79,phone,true
message,18,36.22,108.79,microphone,false
social_contact,12,37.04,106.18,contact,false
game,24,36.82,109.61,location,true
social_contact,17,38.57,107.1,contact,false
navigation,14,36.4,107.57,location,true
social_contact,22,37.69,105.32,microphone,false
message,18,39.88,109.06,location,false
navigation,12,39.66,106.23,location,true
navigation,16,38.43,109.53,contact,true
message,15,38.47,109.8,phone,false
game,16,39.17,106.19,location,true
game,21,37.61,107.53,phone,true
navigation,20,38.76,109.88,location,true
game,13,37.92,108.79,contact,true
game,22,39.08,105.33,location,true
social_contact,18,38.38,109.45,contact,false
social_contact,17,38.8,105.55,microphone,false
message,19,37.15,109.36,microphone,false
game,14,38.32,107.67,microphone,true
social_contact,14,39.84,107.67,phone,false
message,15,38.68,108.43,location,false
message,24,38.81,107.24,microphone,false
social_contact,14,36.0,109.28,phone,false
social_contact,14,36.09,109.48,microphone,false
game,20,37.35,106.72,microphone,true
game,21,38.95,108.92,location,true
navigation,24,38.89,107.91,phone,true
social_contact,21,37.16,106.02,microphone,false
navigation,17,37.75,108.62,location,true
social_contact,14,39.38,107.63,contact,false
navigation,13,38.87,107.32,contact,true
navigation,12,36.32,109.9,contact,true
game,20,39.26,105.97,contact,true
message,14,37.26,106.92,location,false
navigation,13,39.46,109.53,contact,true
message,24,36.75,108.46,location,false
navigation,23,37.74,106.32,microphone,true
social_contact,14,38.89,108.84,location,false
navigation,16,37.67,107.1,location,true
game,21,38.05,107.25,microphone,true
message,19,39.59,108.6,microphone,false
message,14,37.4,105.82,location,false
game,19,36.09,109.73,microphone,true
navigation,20,38.91,106.41,contact,true
game,23,37.59,108.77,contact,true
social_contact,23,36.49,108.0,phone,false
game,17,36.74,107.95,microphone,true
message,15,38.95,108.12,contact,false
navigation,18,39.89,106.22,location,true
social_contact,13,37.22,107.48,phone,false
social_contact,12,39.39,105.56,location,false
game,12,38.09,107.7,location,true
message,16,37.04,109.14,phone,false
game,15,36.3,105.64,phone,true
message,15,38.39,108.1,phone,false
navigation,12,36.97,109.0,contact,true
navigation,19,39.62,107.07,contact,true
message,24,38.13,109.08,location,false
navigation,14,38.89,105.38,phone,true
social_contact,19,36.28,108.98,microphone,false
message,18,38.54,108.2,phone,false
game,24,37.54,109.67,contact,true
social_contact,12,37.11,107.95,location,false
navigation,15,37.71,105.33,contact,true
social_contact,24,37.78,107.24,phone,false
social_contact,18,36.43,105.79,contact,false
navigation,12,38.09,108.17,location,true
game,14,38.04,106.37,location,true
message,16,39.26,105.67,location,false
social_contact,22,36.64,109.29,location,false
social_contact,22,39.6,105.15,microphone,false
social_contact,15,36.51,105.12,microphone,false
navigation,12,37.48,106.99,contact,true
game,13,38.22,106.86,location,true
message,20,37.04,108.74,microphone,false
game,20,39.69,107.36,contact,true
social_contact,22,39.63,106.47,phone,false
navigation,18,36.87,109.38,contact,true
game,20,38.21,106.48,phone,true
message,13,38.66,106.3,location,false
navigation,19,36.08,106.21,contact,true
navigation,13,39.84,109.68,location,true
navigation,18,39.67,108.17,location,true
social_contact,22,36.98,108.0,location,false
game,17,38.62,107.71,contact,true
social_contact,21,36.88,109.83,phone,false
game,19,38.06,107.75,microphone,true
social_contact,23,39.7,109.39,contact,false
message,19,38.38,105.32,phone,false
social_contact,20,37.08,109.08,phone,false
game,21,38.81,108.42,microphone,true
social_contact,13,38.89,106.36,contact,false
social_contact,16,36.14,105.11,contact,false
navigation,18,37.68,105.34,location,true
navigation,19,39.0,105.19,location,true
social_contact,15,37.36,107.66,microphone,false
game,13,37.46,107.54,microphone,true
social_contact,15,38.87,107.68,location,false
message,20,38.61,106.27,location,false
social_contact,22,38.44,107.76,phone,false
game,13,37.84,108.99,microphone,true
navigation,14,36.13,108.8,phone,true
game,16,39.8,106.04,phone,true
navigation,17,38.38,108.96,microphone,true
navigation,12,36.24,105.95,contact,true
navigation,19,36.4,106.86,contact,true
social_contact,16,39.22,105.86,contact,false
social_contact,21,38.4,105.84,location,false
game,21,38.0,105.75,microphone,true
message,12,38.02,106.29,phone,false
social_contact,19,38.73,106.95,microphone,false
social_contact,18,39.04,109.94,microphone,false
message,16,37.2,108.29,microphone,false
message,20,36.55,105.05,microphone,false
navigation,24,37.1,107.34,contact,true
social_contact,21,39.21,108.55,location,false
message,13,36.3,105.18,contact,false
navigation,16,37.35,107.48,location,true
social_contact,17,39.51,109.6,microphone,false
message,20,39.91,105.0,phone,false
message,19,39.82,108.08,phone,false
message,17,37.2,106.71,phone,false
navigation,15,36.24,109.52,phone,true
message,16,39.73,106.08,phone,false
navigation,13,38.75,109.45,phone,true
message,15,37.25,105.75,contact,false
game,24,36.05,108.02,phone,true
message,13,37.74,107.31,contact,false
message,13,37.76,105.44,contact,false
message,17,39.45,108.25,phone,false
social_contact,20,36.67,108.85,location,false
game,15,37.85,105.67,phone,true
message,20,39.76,108.44,phone,false
navigation,16,38.29,105.29,microphone,true
game,20,36.49,109.77,contact,true
game,19,38.78,108.72,microphone,true
navigation,18,37.12,108.33,microphone,true
navigation,20,36.64,108.99,phone,true
game,16,36.53,107.2,microphone,true
message,21,38.25,105.4,contact,false
message,20,38.07,105.06,microphone,false
message,20,37.48,105.42,microphone,false
game,19,36.83,105.9,microphone,true
game,15,37.67,106.14,location,true
navigation,12,36.94,106.78,phone,true
message,16,39.03,109.34,phone,false
navigation,24,38.19,109.7,location,true
message,19,36.51,108.33,location,false
navigation,19,39.49,108.93,location,true
message,14,37.35,105.86,phone,false
message,16,36.2,106.67,location,false
game,19,37.93,107.25,phone,true
social_contact,16,39.78,106.25,phone,false
